"sequence_id","position","state","group","channel","weight"
"S006",12,"C","comparison","primary",1
"S007",12,"A","reference","primary",1
"S008",12,"A","comparison","primary",1
"S009",12,"C","reference","primary",1
"S010",12,"C","comparison","primary",1
"S011",12,"A","reference","primary",1
"S012",12,"A","comparison","primary",1
"S013",12,"C","reference","primary",1
"S014",12,"C","comparison","primary",1
"S015",12,"A","reference","primary",1
"S016",12,"A","comparison","primary",1
"S017",12,"C","reference","primary",1
"S018",12,"C","comparison","primary",1
"S019",12,"A","reference","primary",1
"S020",12,"A","comparison","primary",1
"S021",12,"C","reference","primary",1
"S022",12,"C","comparison","primary",1
"S023",12,"A","reference","primary",1
"S024",12,"A","comparison","primary",1
"S025",12,"C","reference","primary",1
"S026",12,"C","comparison","primary",1
"S027",12,"A","reference","primary",1
"S028",12,"A","comparison","primary",1
"S029",12,"C","reference","primary",1
"S030",12,"C","comparison","primary",1
"S031",12,"A","reference","primary",1
"S032",12,"A","comparison","primary",1
"S033",12,"C","reference","primary",1
"S034",12,"C","comparison","primary",1
"S035",12,"A","reference","primary",1
"S036",12,"A","comparison","primary",1
"S037",12,"C","reference","primary",1
"S038",12,"C","comparison","primary",1
"S039",12,"A","reference","primary",1
"S040",12,"A","comparison","primary",1
"S041",12,"C","reference","primary",1
"S042",12,"C","comparison","primary",1
"S043",12,"A","reference","primary",1
"S044",12,"A","comparison","primary",1
"S045",12,"C","reference","primary",1
"S046",12,"C","comparison","primary",1
"S047",12,"A","reference","primary",1
"S048",12,"A","comparison","primary",1
"S049",12,"C","reference","primary",1
"S050",12,"C","comparison","primary",1
"S051",12,"A","reference","primary",1
"S052",12,"A","comparison","primary",1
"S053",12,"C","reference","primary",1
"S054",12,"C","comparison","primary",1
"S055",12,"A","reference","primary",1
"S056",12,"A","comparison","primary",1
"S057",12,"C","reference","primary",1
"S058",12,"C","comparison","primary",1
"S059",12,"A","reference","primary",1
"S060",12,"A","comparison","primary",1
"S061",12,"C","reference","primary",1
"S062",12,"C","comparison","primary",1
"S063",12,"A","reference","primary",1
"S064",12,"A","comparison","primary",1
"S065",12,"C","reference","primary",1
"S066",12,"C","comparison","primary",1
"S067",12,"A","reference","primary",1
"S068",12,"A","comparison","primary",1
"S069",12,"C","reference","primary",1
"S070",12,"C","comparison","primary",1
"S071",12,"A","reference","primary",1
"S072",12,"A","comparison","primary",1
"S001",13,"A","reference","primary",1
"S002",13,"C","comparison","primary",1
"S003",13,"C","reference","primary",1
"S004",13,"A","comparison","primary",1
"S005",13,"A","reference","primary",1
"S006",13,"C","comparison","primary",1
"S007",13,"C","reference","primary",1
"S008",13,"A","comparison","primary",1
"S009",13,"A","reference","primary",1
"S010",13,"C","comparison","primary",1
"S011",13,"C","reference","primary",1
"S012",13,"A","comparison","primary",1
"S013",13,"A","reference","primary",1
"S014",13,"C","comparison","primary",1
"S015",13,"C","reference","primary",1
"S016",13,"A","comparison","primary",1
"S017",13,"A","reference","primary",1
"S018",13,"C","comparison","primary",1
"S019",13,"C","reference","primary",1
"S020",13,"A","comparison","primary",1
"S021",13,"A","reference","primary",1
"S022",13,"C","comparison","primary",1
"S023",13,"C","reference","primary",1
"S024",13,"A","comparison","primary",1
"S025",13,"A","reference","primary",1
"S026",13,"C","comparison","primary",1
"S027",13,"C","reference","primary",1
"S028",13,"A","comparison","primary",1
"S029",13,"A","reference","primary",1
"S030",13,"C","comparison","primary",1
"S031",13,"C","reference","primary",1
"S032",13,"A","comparison","primary",1
"S033",13,"A","reference","primary",1
"S034",13,"C","comparison","primary",1
"S035",13,"C","reference","primary",1
"S036",13,"A","comparison","primary",1
"S037",13,"A","reference","primary",1
"S038",13,"C","comparison","primary",1
"S039",13,"C","reference","primary",1
"S040",13,"A","comparison","primary",1
"S041",13,"A","reference","primary",1
"S042",13,"C","comparison","primary",1
"S043",13,"C","reference","primary",1
"S044",13,"A","comparison","primary",1
"S045",13,"A","reference","primary",1
"S046",13,"C","comparison","primary",1
"S047",13,"C","reference","primary",1
"S048",13,"A","comparison","primary",1
"S049",13,"A","reference","primary",1
"S050",13,"C","comparison","primary",1
"S051",13,"C","reference","primary",1
"S052",13,"A","comparison","primary",1
"S053",13,"A","reference","primary",1
"S054",13,"C","comparison","primary",1
"S055",13,"C","reference","primary",1
"S056",13,"A","comparison","primary",1
"S057",13,"A","reference","primary",1
"S058",13,"C","comparison","primary",1
"S059",13,"C","reference","primary",1
"S060",13,"A","comparison","primary",1
"S061",13,"A","reference","primary",1
"S062",13,"C","comparison","primary",1
"S063",13,"C","reference","primary",1
"S064",13,"A","comparison","primary",1
"S065",13,"A","reference","primary",1
"S066",13,"C","comparison","primary",1
"S067",13,"C","reference","primary",1
"S068",13,"A","comparison","primary",1
"S069",13,"A","reference","primary",1
"S070",13,"C","comparison","primary",1
"S071",13,"C","reference","primary",1
"S072",13,"A","comparison","primary",1
"S001",14,"B","reference","primary",1
"S002",14,"A","comparison","primary",1
"S003",14,"D","reference","primary",1
"S004",14,"C","comparison","primary",1
"S005",14,"B","reference","primary",1
"S006",14,"A","comparison","primary",1
"S007",14,"D","reference","primary",1
"S008",14,"C","comparison","primary",1
"S009",14,"B","reference","primary",1
"S010",14,"A","comparison","primary",1
"S011",14,"D","reference","primary",1
"S012",14,"C","comparison","primary",1
"S013",14,"B","reference","primary",1
"S014",14,"A","comparison","primary",1
"S015",14,"D","reference","primary",1
"S016",14,"C","comparison","primary",1
"S017",14,"B","reference","primary",1
"S018",14,"A","comparison","primary",1
"S019",14,"D","reference","primary",1
"S020",14,"C","comparison","primary",1
"S021",14,"B","reference","primary",1
"S022",14,"A","comparison","primary",1
"S023",14,"D","reference","primary",1
"S024",14,"C","comparison","primary",1
"S025",14,"B","reference","primary",1
"S026",14,"A","comparison","primary",1
"S027",14,"D","reference","primary",1
"S028",14,"C","comparison","primary",1
"S029",14,"B","reference","primary",1
"S030",14,"A","comparison","primary",1
"S031",14,"D","reference","primary",1
"S032",14,"C","comparison","primary",1
"S033",14,"B","reference","primary",1
"S034",14,"A","comparison","primary",1
"S035",14,"D","reference","primary",1
"S036",14,"C","comparison","primary",1
"S037",14,"B","reference","primary",1
"S038",14,"A","comparison","primary",1
"S039",14,"D","reference","primary",1
"S040",14,"C","comparison","primary",1
"S041",14,"B","reference","primary",1
"S042",14,"A","comparison","primary",1
"S043",14,"D","reference","primary",1
"S044",14,"C","comparison","primary",1
"S045",14,"B","reference","primary",1
"S046",14,"A","comparison","primary",1
"S047",14,"D","reference","primary",1
"S048",14,"C","comparison","primary",1
"S049",14,"B","reference","primary",1
"S050",14,"A","comparison","primary",1
"S051",14,"D","reference","primary",1
"S052",14,"C","comparison","primary",1
"S053",14,"B","reference","primary",1
"S054",14,"A","comparison","primary",1
"S055",14,"D","reference","primary",1
"S056",14,"C","comparison","primary",1
"S057",14,"B","reference","primary",1
"S058",14,"A","comparison","primary",1
"S059",14,"D","reference","primary",1
"S060",14,"C","comparison","primary",1
"S061",14,"B","reference","primary",1
"S062",14,"A","comparison","primary",1
"S063",14,"D","reference","primary",1
"S064",14,"C","comparison","primary",1
"S065",14,"B","reference","primary",1
"S066",14,"A","comparison","primary",1
"S067",14,"D","reference","primary",1
"S068",14,"C","comparison","primary",1
"S069",14,"B","reference","primary",1
"S070",14,"A","comparison","primary",1
"S071",14,"D","reference","primary",1
"S072",14,"C","comparison","primary",1
"S001",15,"C","reference","primary",1
"S002",15,"C","comparison","primary",1
"S003",15,"A","reference","primary",1
"S004",15,"A","comparison","primary",1
"S005",15,"C","reference","primary",1
"S006",15,"C","comparison","primary",1
"S007",15,"A","reference","primary",1
"S008",15,"A","comparison","primary",1
"S009",15,"C","reference","primary",1
"S010",15,"C","comparison","primary",1
"S011",15,"A","reference","primary",1
"S012",15,"A","comparison","primary",1
"S013",15,"C","reference","primary",1
"S014",15,"C","comparison","primary",1
"S015",15,"A","reference","primary",1
"S016",15,"A","comparison","primary",1
"S017",15,"C","reference","primary",1
"S018",15,"C","comparison","primary",1
"S019",15,"A","reference","primary",1
"S020",15,"A","comparison","primary",1
"S021",15,"C","reference","primary",1
"S022",15,"C","comparison","primary",1
"S023",15,"A","reference","primary",1
"S024",15,"A","comparison","primary",1
"S025",15,"C","reference","primary",1
"S026",15,"C","comparison","primary",1
"S027",15,"A","reference","primary",1
"S028",15,"A","comparison","primary",1
"S029",15,"C","reference","primary",1
"S030",15,"C","comparison","primary",1
"S031",15,"A","reference","primary",1
"S032",15,"A","comparison","primary",1
"S033",15,"C","reference","primary",1
"S034",15,"C","comparison","primary",1
"S035",15,"A","reference","primary",1
"S036",15,"A","comparison","primary",1
"S037",15,"C","reference","primary",1
"S038",15,"C","comparison","primary",1
"S039",15,"A","reference","primary",1
"S040",15,"A","comparison","primary",1
"S041",15,"C","reference","primary",1
"S042",15,"C","comparison","primary",1
"S043",15,"A","reference","primary",1
"S044",15,"A","comparison","primary",1
"S045",15,"C","reference","primary",1
"S046",15,"C","comparison","primary",1
"S047",15,"A","reference","primary",1
"S048",15,"A","comparison","primary",1
"S049",15,"C","reference","primary",1
"S050",15,"C","comparison","primary",1
"S051",15,"A","reference","primary",1
"S052",15,"A","comparison","primary",1
"S053",15,"C","reference","primary",1
"S054",15,"C","comparison","primary",1
"S055",15,"A","reference","primary",1
"S056",15,"A","comparison","primary",1
"S057",15,"C","reference","primary",1
"S058",15,"C","comparison","primary",1
"S059",15,"A","reference","primary",1
"S060",15,"A","comparison","primary",1
"S061",15,"C","reference","primary",1
"S062",15,"C","comparison","primary",1
"S063",15,"A","reference","primary",1
"S064",15,"A","comparison","primary",1
"S065",15,"C","reference","primary",1
"S066",15,"C","comparison","primary",1
"S067",15,"A","reference","primary",1
"S068",15,"A","comparison","primary",1
"S069",15,"C","reference","primary",1
"S070",15,"C","comparison","primary",1
"S071",15,"A","reference","primary",1
"S072",15,"A","comparison","primary",1
"S001",16,"D","reference","primary",1
"S002",16,"A","comparison","primary",1
"S003",16,"B","reference","primary",1
"S004",16,"C","comparison","primary",1
"S005",16,"D","reference","primary",1
"S006",16,"A","comparison","primary",1
"S007",16,"B","reference","primary",1
"S008",16,"C","comparison","primary",1
"S009",16,"D","reference","primary",1
"S010",16,"A","comparison","primary",1
"S011",16,"B","reference","primary",1
"S012",16,"C","comparison","primary",1
"S013",16,"D","reference","primary",1
"S014",16,"A","comparison","primary",1
"S015",16,"B","reference","primary",1
"S016",16,"C","comparison","primary",1
"S017",16,"D","reference","primary",1
"S018",16,"A","comparison","primary",1
"S019",16,"B","reference","primary",1
"S020",16,"C","comparison","primary",1
"S021",16,"D","reference","primary",1
"S022",16,"A","comparison","primary",1
"S023",16,"B","reference","primary",1
"S024",16,"C","comparison","primary",1
"S025",16,"D","reference","primary",1
"S026",16,"A","comparison","primary",1
"S027",16,"B","reference","primary",1
"S028",16,"C","comparison","primary",1
"S029",16,"D","reference","primary",1
"S030",16,"A","comparison","primary",1
"S031",16,"B","reference","primary",1
"S032",16,"C","comparison","primary",1
"S033",16,"D","reference","primary",1
"S034",16,"A","comparison","primary",1
"S035",16,"B","reference","primary",1
"S036",16,"C","comparison","primary",1
"S037",16,"D","reference","primary",1
"S038",16,"A","comparison","primary",1
"S039",16,"B","reference","primary",1
"S040",16,"C","comparison","primary",1
"S041",16,"D","reference","primary",1
"S042",16,"A","comparison","primary",1
"S043",16,"B","reference","primary",1
"S044",16,"C","comparison","primary",1
"S045",16,"D","reference","primary",1
"S046",16,"A","comparison","primary",1
"S047",16,"B","reference","primary",1
"S048",16,"C","comparison","primary",1
"S049",16,"D","reference","primary",1
"S050",16,"A","comparison","primary",1
"S051",16,"B","reference","primary",1
"S052",16,"C","comparison","primary",1
"S053",16,"D","reference","primary",1
"S054",16,"A","comparison","primary",1
"S055",16,"B","reference","primary",1
"S056",16,"C","comparison","primary",1
"S057",16,"D","reference","primary",1
"S058",16,"A","comparison","primary",1
"S059",16,"B","reference","primary",1
"S060",16,"C","comparison","primary",1
"S061",16,"D","reference","primary",1
"S062",16,"A","comparison","primary",1
"S063",16,"B","reference","primary",1
"S064",16,"C","comparison","primary",1
"S065",16,"D","reference","primary",1
"S066",16,"A","comparison","primary",1
"S067",16,"B","reference","primary",1
"S068",16,"C","comparison","primary",1
"S069",16,"D","reference","primary",1
"S070",16,"A","comparison","primary",1
"S071",16,"B","reference","primary",1
"S072",16,"C","comparison","primary",1
"S001",17,"A","reference","primary",1
"S002",17,"C","comparison","primary",1
"S003",17,"C","reference","primary",1
"S004",17,"A","comparison","primary",1
"S005",17,"A","reference","primary",1
"S006",17,"C","comparison","primary",1
"S007",17,"C","reference","primary",1
"S008",17,"A","comparison","primary",1
"S009",17,"A","reference","primary",1
"S010",17,"C","comparison","primary",1
"S011",17,"C","reference","primary",1
"S012",17,"A","comparison","primary",1
"S013",17,"A","reference","primary",1
"S014",17,"C","comparison","primary",1
"S015",17,"C","reference","primary",1
"S016",17,"A","comparison","primary",1
"S017",17,"A","reference","primary",1
"S018",17,"C","comparison","primary",1
"S019",17,"C","reference","primary",1
"S020",17,"A","comparison","primary",1
"S021",17,"A","reference","primary",1
"S022",17,"C","comparison","primary",1
"S023",17,"C","reference","primary",1
"S024",17,"A","comparison","primary",1
"S025",17,"A","reference","primary",1
"S026",17,"C","comparison","primary",1
"S027",17,"C","reference","primary",1
"S028",17,"A","comparison","primary",1
"S029",17,"A","reference","primary",1
"S030",17,"C","comparison","primary",1
"S031",17,"C","reference","primary",1
"S032",17,"A","comparison","primary",1
"S033",17,"A","reference","primary",1
"S034",17,"C","comparison","primary",1
"S035",17,"C","reference","primary",1
"S036",17,"A","comparison","primary",1
"S037",17,"A","reference","primary",1
"S038",17,"C","comparison","primary",1
"S039",17,"C","reference","primary",1
"S040",17,"A","comparison","primary",1
"S041",17,"A","reference","primary",1
"S042",17,"C","comparison","primary",1
"S043",17,"C","reference","primary",1
"S044",17,"A","comparison","primary",1
"S045",17,"A","reference","primary",1
"S046",17,"C","comparison","primary",1
"S047",17,"C","reference","primary",1
"S048",17,"A","comparison","primary",1
"S049",17,"A","reference","primary",1
"S050",17,"C","comparison","primary",1
"S051",17,"C","reference","primary",1
"S052",17,"A","comparison","primary",1
"S053",17,"A","reference","primary",1
"S054",17,"C","comparison","primary",1
"S055",17,"C","reference","primary",1
"S056",17,"A","comparison","primary",1
"S057",17,"A","reference","primary",1
"S058",17,"C","comparison","primary",1
"S059",17,"C","reference","primary",1
"S060",17,"A","comparison","primary",1
"S061",17,"A","reference","primary",1
"S062",17,"C","comparison","primary",1
"S063",17,"C","reference","primary",1
"S064",17,"A","comparison","primary",1
"S065",17,"A","reference","primary",1
"S066",17,"C","comparison","primary",1
"S067",17,"C","reference","primary",1
"S068",17,"A","comparison","primary",1
"S069",17,"A","reference","primary",1
"S070",17,"C","comparison","primary",1
"S071",17,"C","reference","primary",1
"S072",17,"A","comparison","primary",1
"S001",18,"B","reference","primary",1
"S002",18,"A","comparison","primary",1
"S003",18,"D","reference","primary",1
"S004",18,"C","comparison","primary",1
"S005",18,"B","reference","primary",1
"S006",18,"A","comparison","primary",1
"S007",18,"D","reference","primary",1
"S008",18,"C","comparison","primary",1
"S009",18,"B","reference","primary",1
"S010",18,"A","comparison","primary",1
"S011",18,"D","reference","primary",1
"S012",18,"C","comparison","primary",1
"S013",18,"B","reference","primary",1
"S014",18,"A","comparison","primary",1
"S015",18,"D","reference","primary",1
"S016",18,"C","comparison","primary",1
"S017",18,"B","reference","primary",1
"S018",18,"A","comparison","primary",1
"S019",18,"D","reference","primary",1
"S020",18,"C","comparison","primary",1
"S021",18,"B","reference","primary",1
"S022",18,"A","comparison","primary",1
"S023",18,"D","reference","primary",1
"S024",18,"C","comparison","primary",1
"S025",18,"B","reference","primary",1
"S026",18,"A","comparison","primary",1
"S027",18,"D","reference","primary",1
"S028",18,"C","comparison","primary",1
"S029",18,"B","reference","primary",1
"S030",18,"A","comparison","primary",1
"S031",18,"D","reference","primary",1
"S032",18,"C","comparison","primary",1
"S033",18,"B","reference","primary",1
"S034",18,"A","comparison","primary",1
"S035",18,"D","reference","primary",1
"S036",18,"C","comparison","primary",1
"S037",18,"B","reference","primary",1
"S038",18,"A","comparison","primary",1
"S039",18,"D","reference","primary",1
"S040",18,"C","comparison","primary",1
"S041",18,"B","reference","primary",1
"S042",18,"A","comparison","primary",1
"S043",18,"D","reference","primary",1
"S044",18,"C","comparison","primary",1
"S045",18,"B","reference","primary",1
"S046",18,"A","comparison","primary",1
"S047",18,"D","reference","primary",1
"S048",18,"C","comparison","primary",1
"S049",18,"B","reference","primary",1
"S050",18,"A","comparison","primary",1
"S051",18,"D","reference","primary",1
"S052",18,"C","comparison","primary",1
"S053",18,"B","reference","primary",1
"S054",18,"A","comparison","primary",1
"S055",18,"D","reference","primary",1
"S056",18,"C","comparison","primary",1
"S057",18,"B","reference","primary",1
"S058",18,"A","comparison","primary",1
"S059",18,"D","reference","primary",1
"S060",18,"C","comparison","primary",1
"S061",18,"B","reference","primary",1
"S062",18,"A","comparison","primary",1
"S063",18,"D","reference","primary",1
"S064",18,"C","comparison","primary",1
"S065",18,"B","reference","primary",1
"S066",18,"A","comparison","primary",1
"S067",18,"D","reference","primary",1
"S068",18,"C","comparison","primary",1
"S069",18,"B","reference","primary",1
"S070",18,"A","comparison","primary",1
"S071",18,"D","reference","primary",1
"S072",18,"C","comparison","primary",1
"S001",19,"D","reference","primary",1
"S002",19,"C","comparison","primary",1
"S003",19,"B","reference","primary",1
"S004",19,"A","comparison","primary",1
"S005",19,"D","reference","primary",1
"S006",19,"C","comparison","primary",1
"S007",19,"B","reference","primary",1
"S008",19,"A","comparison","primary",1
"S009",19,"D","reference","primary",1
"S010",19,"C","comparison","primary",1
"S011",19,"B","reference","primary",1
"S012",19,"A","comparison","primary",1
"S013",19,"D","reference","primary",1
"S014",19,"C","comparison","primary",1
"S015",19,"B","reference","primary",1
"S016",19,"A","comparison","primary",1
"S017",19,"D","reference","primary",1
"S018",19,"C","comparison","primary",1
"S019",19,"B","reference","primary",1
"S020",19,"A","comparison","primary",1
"S021",19,"D","reference","primary",1
"S022",19,"C","comparison","primary",1
"S023",19,"B","reference","primary",1
"S024",19,"A","comparison","primary",1
"S025",19,"D","reference","primary",1
"S026",19,"C","comparison","primary",1
"S027",19,"B","reference","primary",1
"S028",19,"A","comparison","primary",1
"S029",19,"D","reference","primary",1
"S030",19,"C","comparison","primary",1
"S031",19,"B","reference","primary",1
"S032",19,"A","comparison","primary",1
"S033",19,"D","reference","primary",1
"S034",19,"C","comparison","primary",1
"S035",19,"B","reference","primary",1
"S036",19,"A","comparison","primary",1
"S037",19,"D","reference","primary",1
"S038",19,"C","comparison","primary",1
"S039",19,"B","reference","primary",1
"S040",19,"A","comparison","primary",1
"S041",19,"D","reference","primary",1
"S042",19,"C","comparison","primary",1
"S043",19,"B","reference","primary",1
"S044",19,"A","comparison","primary",1
"S045",19,"D","reference","primary",1
"S046",19,"C","comparison","primary",1
"S047",19,"B","reference","primary",1
"S048",19,"A","comparison","primary",1
"S049",19,"D","reference","primary",1
"S050",19,"C","comparison","primary",1
"S051",19,"B","reference","primary",1
"S052",19,"A","comparison","primary",1
"S053",19,"D","reference","primary",1
"S054",19,"C","comparison","primary",1
"S055",19,"B","reference","primary",1
"S056",19,"A","comparison","primary",1
"S057",19,"D","reference","primary",1
"S058",19,"C","comparison","primary",1
"S059",19,"B","reference","primary",1
"S060",19,"A","comparison","primary",1
"S061",19,"D","reference","primary",1
"S062",19,"C","comparison","primary",1
"S063",19,"B","reference","primary",1
"S064",19,"A","comparison","primary",1
"S065",19,"D","reference","primary",1
"S066",19,"C","comparison","primary",1
"S067",19,"B","reference","primary",1
"S068",19,"A","comparison","primary",1
"S069",19,"D","reference","primary",1
"S070",19,"C","comparison","primary",1
"S071",19,"B","reference","primary",1
"S072",19,"A","comparison","primary",1
"S001",20,"A","reference","primary",1
"S002",20,"A","comparison","primary",1
"S003",20,"C","reference","primary",1
"S004",20,"C","comparison","primary",1
"S005",20,"A","reference","primary",1
"S006",20,"A","comparison","primary",1
"S007",20,"C","reference","primary",1
"S008",20,"C","comparison","primary",1
"S009",20,"A","reference","primary",1
"S010",20,"A","comparison","primary",1
"S011",20,"C","reference","primary",1
"S012",20,"C","comparison","primary",1
"S013",20,"A","reference","primary",1
"S014",20,"A","comparison","primary",1
"S015",20,"C","reference","primary",1
"S016",20,"C","comparison","primary",1
"S017",20,"A","reference","primary",1
"S018",20,"A","comparison","primary",1
"S019",20,"C","reference","primary",1
"S020",20,"C","comparison","primary",1
"S021",20,"A","reference","primary",1
"S022",20,"A","comparison","primary",1
"S023",20,"C","reference","primary",1
"S024",20,"C","comparison","primary",1
"S025",20,"A","reference","primary",1
"S026",20,"A","comparison","primary",1
"S027",20,"C","reference","primary",1
"S028",20,"C","comparison","primary",1
"S029",20,"A","reference","primary",1
"S030",20,"A","comparison","primary",1
"S031",20,"C","reference","primary",1
"S032",20,"C","comparison","primary",1
"S033",20,"A","reference","primary",1
"S034",20,"A","comparison","primary",1
"S035",20,"C","reference","primary",1
"S036",20,"C","comparison","primary",1
"S037",20,"A","reference","primary",1
"S038",20,"A","comparison","primary",1
"S039",20,"C","reference","primary",1
"S040",20,"C","comparison","primary",1
"S041",20,"A","reference","primary",1
"S042",20,"A","comparison","primary",1
"S043",20,"C","reference","primary",1
"S044",20,"C","comparison","primary",1
"S045",20,"A","reference","primary",1
"S046",20,"A","comparison","primary",1
"S047",20,"C","reference","primary",1
"S048",20,"C","comparison","primary",1
"S049",20,"A","reference","primary",1
"S050",20,"A","comparison","primary",1
"S051",20,"C","reference","primary",1
"S052",20,"C","comparison","primary",1
"S053",20,"A","reference","primary",1
"S054",20,"A","comparison","primary",1
"S055",20,"C","reference","primary",1
"S056",20,"C","comparison","primary",1
"S057",20,"A","reference","primary",1
"S058",20,"A","comparison","primary",1
"S059",20,"C","reference","primary",1
"S060",20,"C","comparison","primary",1
"S061",20,"A","reference","primary",1
"S062",20,"A","comparison","primary",1
"S063",20,"C","reference","primary",1
"S064",20,"C","comparison","primary",1
"S065",20,"A","reference","primary",1
"S066",20,"A","comparison","primary",1
"S067",20,"C","reference","primary",1
"S068",20,"C","comparison","primary",1
"S069",20,"A","reference","primary",1
"S070",20,"A","comparison","primary",1
"S071",20,"C","reference","primary",1
"S072",20,"C","comparison","primary",1
"S001",21,"B","reference","primary",1
"S002",21,"C","comparison","primary",1
"S003",21,"D","reference","primary",1
"S004",21,"A","comparison","primary",1
"S005",21,"B","reference","primary",1
"S006",21,"C","comparison","primary",1
"S007",21,"D","reference","primary",1
"S008",21,"A","comparison","primary",1
"S009",21,"B","reference","primary",1
"S010",21,"C","comparison","primary",1
"S011",21,"D","reference","primary",1
"S012",21,"A","comparison","primary",1
"S013",21,"B","reference","primary",1
"S014",21,"C","comparison","primary",1
"S015",21,"D","reference","primary",1
"S016",21,"A","comparison","primary",1
"S017",21,"B","reference","primary",1
"S018",21,"C","comparison","primary",1
"S019",21,"D","reference","primary",1
"S020",21,"A","comparison","primary",1
"S021",21,"B","reference","primary",1
"S022",21,"C","comparison","primary",1
"S023",21,"D","reference","primary",1
"S024",21,"A","comparison","primary",1
"S025",21,"B","reference","primary",1
"S026",21,"C","comparison","primary",1
"S027",21,"D","reference","primary",1
"S028",21,"A","comparison","primary",1
"S029",21,"B","reference","primary",1
"S030",21,"C","comparison","primary",1
"S031",21,"D","reference","primary",1
"S032",21,"A","comparison","primary",1
"S033",21,"B","reference","primary",1
"S034",21,"C","comparison","primary",1
"S035",21,"D","reference","primary",1
"S036",21,"A","comparison","primary",1
"S037",21,"B","reference","primary",1
"S038",21,"C","comparison","primary",1
"S039",21,"D","reference","primary",1
"S040",21,"A","comparison","primary",1
"S041",21,"B","reference","primary",1
"S042",21,"C","comparison","primary",1
"S043",21,"D","reference","primary",1
"S044",21,"A","comparison","primary",1
"S045",21,"B","reference","primary",1
"S046",21,"C","comparison","primary",1
"S047",21,"D","reference","primary",1
"S048",21,"A","comparison","primary",1
"S049",21,"B","reference","primary",1
"S050",21,"C","comparison","primary",1
"S051",21,"D","reference","primary",1
"S052",21,"A","comparison","primary",1
"S053",21,"B","reference","primary",1
"S054",21,"C","comparison","primary",1
"S055",21,"D","reference","primary",1
"S056",21,"A","comparison","primary",1
"S057",21,"B","reference","primary",1
"S058",21,"C","comparison","primary",1
"S059",21,"D","reference","primary",1
"S060",21,"A","comparison","primary",1
"S061",21,"B","reference","primary",1
"S062",21,"C","comparison","primary",1
"S063",21,"D","reference","primary",1
"S064",21,"A","comparison","primary",1
"S065",21,"B","reference","primary",1
"S066",21,"C","comparison","primary",1
"S067",21,"D","reference","primary",1
"S068",21,"A","comparison","primary",1
"S069",21,"B","reference","primary",1
"S070",21,"C","comparison","primary",1
"S071",21,"D","reference","primary",1
"S072",21,"A","comparison","primary",1
"S001",22,"C","reference","primary",1
"S002",22,"A","comparison","primary",1
"S003",22,"A","reference","primary",1
"S004",22,"C","comparison","primary",1
"S005",22,"C","reference","primary",1
"S006",22,"A","comparison","primary",1
"S007",22,"A","reference","primary",1
"S008",22,"C","comparison","primary",1
"S009",22,"C","reference","primary",1
"S010",22,"A","comparison","primary",1
"S011",22,"A","reference","primary",1
"S012",22,"C","comparison","primary",1
"S013",22,"C","reference","primary",1
"S014",22,"A","comparison","primary",1
"S015",22,"A","reference","primary",1
"S016",22,"C","comparison","primary",1
"S017",22,"C","reference","primary",1
"S018",22,"A","comparison","primary",1
"S019",22,"A","reference","primary",1
"S020",22,"C","comparison","primary",1
"S021",22,"C","reference","primary",1
"S022",22,"A","comparison","primary",1
"S023",22,"A","reference","primary",1
"S024",22,"C","comparison","primary",1
"S025",22,"C","reference","primary",1
"S026",22,"A","comparison","primary",1
"S027",22,"A","reference","primary",1
"S028",22,"C","comparison","primary",1
"S029",22,"C","reference","primary",1
"S030",22,"A","comparison","primary",1
"S031",22,"A","reference","primary",1
"S032",22,"C","comparison","primary",1
"S033",22,"C","reference","primary",1
"S034",22,"A","comparison","primary",1
"S035",22,"A","reference","primary",1
"S036",22,"C","comparison","primary",1
"S037",22,"C","reference","primary",1
"S038",22,"A","comparison","primary",1
"S039",22,"A","reference","primary",1
"S040",22,"C","comparison","primary",1
"S041",22,"C","reference","primary",1
"S042",22,"A","comparison","primary",1
"S043",22,"A","reference","primary",1
"S044",22,"C","comparison","primary",1
"S045",22,"C","reference","primary",1
"S046",22,"A","comparison","primary",1
"S047",22,"A","reference","primary",1
"S048",22,"C","comparison","primary",1
"S049",22,"C","reference","primary",1
"S050",22,"A","comparison","primary",1
"S051",22,"A","reference","primary",1
"S052",22,"C","comparison","primary",1
"S053",22,"C","reference","primary",1
"S054",22,"A","comparison","primary",1
"S055",22,"A","reference","primary",1
"S056",22,"C","comparison","primary",1
"S057",22,"C","reference","primary",1
"S058",22,"A","comparison","primary",1
"S059",22,"A","reference","primary",1
"S060",22,"C","comparison","primary",1
"S061",22,"C","reference","primary",1
"S062",22,"A","comparison","primary",1
"S063",22,"A","reference","primary",1
"S064",22,"C","comparison","primary",1
"S065",22,"C","reference","primary",1
"S066",22,"A","comparison","primary",1
"S067",22,"A","reference","primary",1
"S068",22,"C","comparison","primary",1
"S069",22,"C","reference","primary",1
"S070",22,"A","comparison","primary",1
"S071",22,"A","reference","primary",1
"S072",22,"C","comparison","primary",1
"S001",23,"D","reference","primary",1
"S002",23,"C","comparison","primary",1
"S003",23,"B","reference","primary",1
"S004",23,"A","comparison","primary",1
"S005",23,"D","reference","primary",1
"S006",23,"C","comparison","primary",1
"S007",23,"B","reference","primary",1
"S008",23,"A","comparison","primary",1
"S009",23,"D","reference","primary",1
"S010",23,"C","comparison","primary",1
"S011",23,"B","reference","primary",1
